item_name,thumb,url_name,id,avg_price
Eternal Onslaught,items/images/en/thumbs/eternal_onslaught.d9c808039b68dd997cc6dee543c8b0ab.128x128.png,eternal_onslaught,62a2b833a554aa00a86de35c,38.0
Eternal Eradicate,items/images/en/thumbs/eternal_eradicate.75f8c32b70d1fa1fc211942ce7c3119e.128x128.png,eternal_eradicate,626a197af40db600660a1d83,31.0
Eternal Logistics,items/images/en/thumbs/eternal_logistics.f12227878bbb95901bd6aba5aa902acf.128x128.png,eternal_logistics,62a2baebfbd62c00450b71db,22.0
Virtuos Strike,items/images/en/thumbs/virtuos_strike.9bb469736054bb8b5c4d55628d49e83e.128x128.png,virtuos_strike,5a04750c6c4655012038ddcb,
Virtuos Surge,items/images/en/thumbs/virtuos_surge.1047626f95c989bdd5ee977d1eca05d5.128x128.png,virtuos_surge,5c1bda1414a8e4006b1dad83,
Virtuos Fury,items/images/en/thumbs/virtuos_fury.f71902bf678d290ad03b625dc35834ca.128x128.png,virtuos_fury,5a04750a6c4655012038ddc6,
Virtuos Null,items/images/en/thumbs/virtuos_null.e3f5a968f4b41d236acad8c9efb8cfef.128x128.png,virtuos_null,5a04750a6c4655012038ddc7,
Virtuos Tempo,items/images/en/thumbs/virtuos_tempo.6e63273510b1ba372aa7eaccfce695e2.128x128.png,virtuos_tempo,5a04750b6c4655012038ddc8,
Virtuos Ghost,items/images/en/thumbs/virtuos_ghost.1bf1c1292e89b66f607c9955ea78b1cb.128x128.png,virtuos_ghost,5a04750e6c4655012038ddd0,
Virtuos Forge,items/images/en/thumbs/virtuos_forge.51355a12fdc05c779f027af6caa6f157.128x128.png,virtuos_forge,5c1bda1914a8e4006b1dad8c,
Virtuos Spike,items/images/en/thumbs/virtuos_spike.8e4996323b5d41abf0354b39741c0dad.128x128.png,virtuos_spike,5c1bda0d14a8e4006b1dad6e,
Virtuos Shadow,items/images/en/thumbs/virtuos_shadow.b6be77f2f40f28d66c86674233faea4d.128x128.png,virtuos_shadow,5a04750a6c4655012038ddc5,
Virtuos Trojan,items/images/en/thumbs/virtuos_trojan.9273040f27641c3064a2ad5933bbfe75.128x128.png,virtuos_trojan,5c1bd9fd14a8e4006b1dad51,
