item_name,thumb,url_name,id,avg_price
Vectis Prime Receiver,sub_icons/weapon/prime_receiver_128x128.png,vectis_prime_receiver,559daaefe779897b5a2d3551,70.0
Destreza Prime Blade,sub_icons/weapon/prime_blade_128x128.png,destreza_prime_blade,5b2985e0eb069f04ea65b0d8,70.0
Akmagnus Prime Link,sub_icons/weapon/prime_link_128x128.png,akmagnus_prime_link,66a51c9166bbb2aedca694b2,63.0
Sicarus Prime Receiver,sub_icons/weapon/prime_receiver_128x128.png,sicarus_prime_receiver,54a73e65e779893a797fff60,58.0
Soma Prime Stock,sub_icons/weapon/prime_stock_128x128.png,soma_prime_stock,54a73e65e779893a797fff64,58.0
Boar Prime Stock,sub_icons/weapon/prime_stock_128x128.png,boar_prime_stock,54a73e65e779893a797fff2d,55.0
Corinth Prime Barrel,sub_icons/weapon/prime_barrel_128x128.png,corinth_prime_barrel,5e839494267539077b0dd6b4,53.0
Gotva Prime,items/images/en/thumbs/gotva_prime.323e7113fa10a54ab363496770917b19.128x128.png,gotva_prime,654500acf9c750264c9cf87b,52.0
Aklex Prime Link,sub_icons/weapon/prime_link_128x128.png,aklex_prime_link,588c7923c353473a172364f3,46.0
Aksomati Prime Link,sub_icons/weapon/prime_link_128x128.png,aksomati_prime_link,5df955131456970150510f24,45.0
Nikana Prime Hilt,sub_icons/weapon/prime_handle_128x128.png,nikana_prime_hilt,56c3bbf85d2f0202da32e942,45.0
Ninkondi Prime Handle,sub_icons/weapon/prime_handle_128x128.png,ninkondi_prime_handle,5d21ce45f4604c012d1e0c10,44.0
Tipedo Prime Handle,sub_icons/weapon/prime_handle_128x128.png,tipedo_prime_handle,5ca2866ffc2db2035eae059a,44.0
Nami Skyla Prime Blade,sub_icons/weapon/prime_blade_128x128.png,nami_skyla_prime_blade,59a5cd4d5cd9938cfede7041,44.0
Euphona Prime Receiver,sub_icons/weapon/prime_receiver_128x128.png,euphona_prime_receiver,58b57068eb26db5c31192111,40.0
Dual Kamas Prime Blade,sub_icons/weapon/prime_blade_128x128.png,dual_kamas_prime_blade,561536deb66f836f8bbaca47,39.0
