item_name,thumb,url_name,id,avg_price
Arcane Universal Fallout,items/unknown.thumb.png,arcane_universal_fallout,67db60899cec3e52e62523f6,1155.0
Arcane Hot Shot,items/unknown.thumb.png,arcane_hot_shot,67db60889cec3e52e62523f5,899.0
Arcane Reaper,items/images/en/thumbs/arcane_reaper.5eaac187d816d010ec44ee1a05979564.128x128.png,arcane_reaper,644b00247ec1900044b97733,586.0
Theorem Infection,items/images/en/thumbs/theorem_infection.1b72a86a16929c0a3c0848ca448e8783.128x128.png,theorem_infection,5fb84767c34da3004797d540,406.0
Theorem Demulcent,items/images/en/thumbs/theorem_demulcent.463239df295fca00049643a7b4b0ff8b.128x128.png,theorem_demulcent,5fb84767c34da3004797d53b,216.0
Arcane Steadfast,items/images/en/thumbs/arcane_steadfast.ccf77e85d0ff32f127e1a71d38ea8c0e.128x128.png,arcane_steadfast,63ee00fd10125411da49e6ea,214.0
Arcane Barrier,items/images/en/thumbs/arcane_barrier.c4b3b25fcc9c874a4bfc0f8998b9f5bd.128x128.png,arcane_barrier,551085aee77989729e1416d0,198.0
Arcane Energize,items/images/en/thumbs/arcane_energize.e5f85590ceb29db89c6753dfdf823485.128x128.png,arcane_energize,566751295dcbc186f0536bd1,172.0
Arcane Grace,items/images/en/thumbs/arcane_grace.3e4f746417d977c6ac5f2c9edd71ada0.128x128.png,arcane_grace,55a46a58e77989027c23b89c,166.0
Arcane Power Ramp,items/images/en/thumbs/arcane_power_ramp.3acad1eaec440c1505c01661a7228664.128x128.png,arcane_power_ramp,649322af7ec190215a693091,153.0
Arcane Double Back,items/images/en/thumbs/arcane_double_back.1ed9a591a41ea6c610f532f30b31ae22.128x128.png,arcane_double_back,63ee00fe10125411da49e6f4,150.0
Arcane Resistance,items/images/en/thumbs/arcane_resistance.4ca1f093ba47158b7f2641f3508e9b99.128x128.png,arcane_resistance,55a46c61e779890338bfadd8,146.0
Arcane Velocity,items/images/en/thumbs/arcane_velocity.ea37edd24f8212ce4bb283205658829b.128x128.png,arcane_velocity,566751d35dcbc186f0536bd6,139.0
Arcane Bellicose,items/unknown.thumb.png,arcane_bellicose,675c5edc7b18977f6e6453f4,134.0
